market_name,Date,temperature_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Vyara(Pan),01-01-2024,31.4,18.7,24.2,0,0,0,13,24.1,0,1
Vyara(Pan),02-01-2024,30.7,17.2,23.3,0,0,0,12.1,23.8,0,2
Vyara(Pan),03-01-2024,29,16.3,22.1,0,0,0,12.8,25.2,0,1
Vyara(Pan),04-01-2024,29.4,16.6,22.5,0,0,0,13.6,24.5,1,5
Vyara(Pan),05-01-2024,28.8,16.4,22.1,0,0,0,14.4,25.9,1,2
Vyara(Pan),06-01-2024,29.4,17.4,22.9,0.1,0.1,0,15.6,34.2,51,32
Vyara(Pan),07-01-2024,28.8,20.5,23.7,0,0,0,20,40.3,3,33
Vyara(Pan),08-01-2024,30.7,20.6,24.8,0,0,0,18.5,33.8,1,6
Vyara(Pan),09-01-2024,30.4,20.4,24.8,0.1,0.1,0,9.7,22.3,51,32
Vyara(Pan),10-01-2024,30.9,20.6,25.2,0,0,0,11.4,22,1,9
Vyara(Pan),11-01-2024,31.3,20.8,25.3,0,0,0,13,26.3,0,2
Vyara(Pan),12-01-2024,32.4,21,26.1,0,0,0,13.6,29.9,3,17
Vyara(Pan),13-01-2024,32.3,19.5,25.2,0,0,0,12.1,27.4,0,0
Vyara(Pan),14-01-2024,29.7,17.2,22.6,0,0,0,11.4,25.6,0,0
Vyara(Pan),15-01-2024,27.9,14.1,20.4,0,0,0,8.4,21.6,0,0
Vyara(Pan),16-01-2024,28,13,20.1,0,0,0,9,18.4,3,38
Vyara(Pan),17-01-2024,27.9,13.8,20.6,0,0,0,10.2,21.6,3,57
Vyara(Pan),18-01-2024,28.1,15.5,21.5,0,0,0,11.6,19.8,3,10
Vyara(Pan),19-01-2024,29.1,15.3,22.2,0,0,0,15.1,32.8,2,5
Vyara(Pan),20-01-2024,28.5,16,22.1,0,0,0,16.8,29.9,3,42
Vyara(Pan),21-01-2024,28.6,16.2,21.9,0,0,0,16.3,35.6,3,56
Vyara(Pan),22-01-2024,29.4,17.1,22.1,0,0,0,16.9,34.9,3,74
Vyara(Pan),23-01-2024,28.1,15.2,21,0,0,0,12.8,29.5,3,11
Vyara(Pan),24-01-2024,27.6,15.1,20.9,0,0,0,16.3,36,1,3
Vyara(Pan),25-01-2024,28.9,15.9,21.5,0,0,0,16.6,36.4,2,4
Vyara(Pan),26-01-2024,30.4,17.5,22.5,0,0,0,15.6,31.3,3,39
Vyara(Pan),27-01-2024,32,17,23.4,0,0,0,15.4,30.6,3,82
Vyara(Pan),28-01-2024,32.3,16.6,23.3,0,0,0,11.7,24.1,3,93
Vyara(Pan),29-01-2024,30.2,15.1,22.3,0,0,0,9.4,23.8,3,68
Vyara(Pan),30-01-2024,30,15.4,22.3,0,0,0,9.9,18.4,3,55
Vyara(Pan),31-01-2024,29.9,14.8,22.2,0,0,0,9,23.8,3,82
Vyara(Pan),01-02-2024,29.7,17.5,23,0,0,0,11.9,23.8,3,30
Vyara(Pan),02-02-2024,29.5,16,22.6,0,0,0,8,22.3,3,40
Vyara(Pan),03-02-2024,33,18.4,25,0,0,0,13.1,29.2,3,14
Vyara(Pan),04-02-2024,34.2,19.8,26.3,0,0,0,12.4,24.5,0,0
Vyara(Pan),05-02-2024,33,19.5,25.7,0,0,0,12.6,28.8,1,2
Vyara(Pan),06-02-2024,33.2,18.9,25.6,0,0,0,11.6,28.1,3,12
Vyara(Pan),07-02-2024,32.3,18.7,25.2,0,0,0,15.5,32.8,3,36
Vyara(Pan),08-02-2024,30.5,18.5,24.1,0,0,0,20,42.5,3,57
Vyara(Pan),09-02-2024,31.3,18.9,24.1,0,0,0,10.5,24.8,3,32
Vyara(Pan),10-02-2024,31.2,17.1,23.7,0,0,0,14.4,25.9,0,0
Vyara(Pan),11-02-2024,31.5,16.2,23.8,0,0,0,9.1,21.6,3,13
Vyara(Pan),12-02-2024,32,15.8,23.8,0,0,0,15.1,29.9,3,99
Vyara(Pan),13-02-2024,31.6,16.3,23.8,0,0,0,11.8,27.7,3,98
Vyara(Pan),14-02-2024,31.8,17.5,24.1,0,0,0,11.4,28.1,3,37
Vyara(Pan),15-02-2024,33.2,17.4,25.4,0,0,0,16.4,36,0,1
Vyara(Pan),16-02-2024,36.1,21.6,27.9,0,0,0,20.8,41.4,2,11
Vyara(Pan),17-02-2024,36.8,20.9,28.4,0,0,0,13.9,29.5,3,22
Vyara(Pan),18-02-2024,35.3,19,27.5,0,0,0,14.8,29.5,3,10
Vyara(Pan),19-02-2024,34.7,18.8,26,0,0,0,20.5,43.2,3,36
Vyara(Pan),20-02-2024,33.5,18.6,25.4,0,0,0,21,43.9,3,25
Vyara(Pan),21-02-2024,30.8,20.4,25,0.1,0.1,0,17.3,37.8,51,51
Vyara(Pan),22-02-2024,31,20.5,24.9,0,0,0,16.9,35.6,3,21
Vyara(Pan),23-02-2024,30.6,18.2,23.9,0,0,0,8.9,25.9,0,0
Vyara(Pan),24-02-2024,30.9,15.7,23.3,0,0,0,12.4,31,0,0
Vyara(Pan),25-02-2024,32,15.5,23.8,0,0,0,17.6,38.9,3,9
Vyara(Pan),26-02-2024,36.9,19.8,27.6,0,0,0,19.5,39.6,3,77
Vyara(Pan),27-02-2024,36,19.8,28,0,0,0,16,33.1,1,5
Vyara(Pan),28-02-2024,35.8,20.2,28,0,0,0,12.3,29.2,1,3
Vyara(Pan),29-02-2024,37.8,20.7,28.9,0,0,0,11.8,27,1,6
Vyara(Pan),01-03-2024,37,22.6,28.9,0,0,0,18.4,36.7,3,10
Vyara(Pan),02-03-2024,33.1,21.6,26.5,0,0,0,21.8,45.7,1,9
Vyara(Pan),03-03-2024,28.8,17.8,23.7,0.3,0.3,0,16.4,37.8,51,10
Vyara(Pan),04-03-2024,30.3,14.2,22.2,0,0,0,11,23,0,0
Vyara(Pan),05-03-2024,32.8,16.2,24,0,0,0,12.9,29.9,1,1
Vyara(Pan),06-03-2024,33.7,15.5,24.6,0,0,0,14.7,30.2,3,15
Vyara(Pan),07-03-2024,34,16.9,25.4,0,0,0,13.4,25.9,3,54
Vyara(Pan),08-03-2024,34.1,18.3,26,0,0,0,12.3,29.5,0,0
Vyara(Pan),09-03-2024,35,19.8,26.7,0,0,0,15.7,33.8,3,19
Vyara(Pan),10-03-2024,35.3,19.2,26.5,0,0,0,16.2,36,2,10
Vyara(Pan),11-03-2024,36.1,19.9,27.7,0,0,0,10,25.9,0,0
Vyara(Pan),12-03-2024,36.2,22.5,28.6,0,0,0,11.9,28.8,0,0
Vyara(Pan),13-03-2024,35.4,20.3,27.3,0,0,0,14.2,30.2,0,1
Vyara(Pan),14-03-2024,34,19.1,26.3,0,0,0,14.5,30.2,0,0
Vyara(Pan),15-03-2024,34.6,18.7,26.2,0,0,0,13.6,27,0,0
Vyara(Pan),16-03-2024,35.8,18.4,26.7,0,0,0,13.8,25.9,0,0
Vyara(Pan),17-03-2024,36.3,18.8,27.1,0,0,0,16.3,34.9,0,0
Vyara(Pan),18-03-2024,36.4,19.7,27.7,0,0,0,11.4,26.3,1,3
Vyara(Pan),19-03-2024,37,18.9,28,0,0,0,14.4,31,2,5
Vyara(Pan),20-03-2024,37.6,19.6,29,0,0,0,10.5,21.6,2,6
Vyara(Pan),21-03-2024,38.5,20.7,29.9,0,0,0,14.9,29.2,3,63
Vyara(Pan),22-03-2024,38.8,21,30,0,0,0,15.2,32,3,17
Vyara(Pan),23-03-2024,38.8,21.1,29.6,0,0,0,16.2,31,3,24
Vyara(Pan),24-03-2024,38.3,22.5,30,0,0,0,13.6,28.4,3,16
Vyara(Pan),25-03-2024,39.7,21.8,30.4,0,0,0,10.2,26.3,0,0
Vyara(Pan),26-03-2024,39.4,22.6,31,0,0,0,12,29.9,3,9
Vyara(Pan),27-03-2024,40.8,24.3,31.9,0,0,0,15.6,31.7,3,22
